"COMUNA","Paso","ESTADO"
"Rauco","3","Preparación"
"Recoleta","4","Apertura inicial"
"Renaico","3","Preparación"
"Renca","4","Apertura inicial"
"Rengo","3","Preparación"
"Requínoa","3","Preparación"
"Retiro","3","Preparación"
"Rinconada","3","Preparación"
"Río Bueno","2","Transición"
"Río Claro","3","Preparación"
"Río Hurtado","4","Apertura Inicial"
"Río Ibáñez","4","Apertura Inicial"
"Río Negro","2","Transición"
"Río Verde","3","Preparación"
"Romeral","3","Preparación"
"Saavedra","3","Preparación"
"Sagrada Familia","3","Preparación"
"Salamanca","4","Apertura Inicial"
"San Antonio","3","Preparación"
"San Bernardo","4","Apertura Inicial"
"San Carlos","3","Preparación"
"San Clemente","3","Preparación"
"San Esteban","3","Preparación"
"San Fabián","3","Preparación"
"San Felipe","3","Preparación"
"San Fernando","3","Preparación"
"San Gregorio","3","Preparación"
"San Ignacio","3","Preparación"
"San Javier","3","Preparación"
"San Joaquín","2","Transición"
"San José de Maipo","4","Apertura inicial"
"San Juan de la Costa","2","Transición"
"San Miguel","3","Preparación"
"San Nicolás","3","Preparación"
"San Pablo","3","Preparación"
"San Pedro","4","Apertura inicial"
"San Pedro de Atacama","3","Preparación"
"San Pedro de la Paz","2","Transición"
"San Rafael","3","Preparación"
"San Ramón","3","Preparación"
"San Rosendo","3","Preparación"
"San Vicente","3","Preparación"
"Santa Bárbara","3","Preparación"
"Santa Cruz","3","Preparación"
"Santa Juana","2","Transición"
"Santa Maria","3","Preparación"
"Santiago","3","Preparación desde el sábado 5 de diciembre a las 5:00 hrs."
"Santo Domingo","3","Preparación"
"Sierra Gorda","3","Preparación"
"Talagante","3","Preparación"
"Talca","3","Preparación"
"Talcahuano","2","Transición"
"Taltal","3","Preparación"
"Temuco","1","Cuarentena"
"Teno","3","Preparación"
"Teodoro Schmidt","3","Preparación"
"Tierra Amarilla","3","Preparación "
"Tiltil","4","Apertura inicial"
"Timaukel","3","Preparación"
"Tirúa","3","Preparación"
"Tocopilla","3","Preparación"
"Toltén","2","Transición"
"Tomé","2","Transición"
"Torres del Paine","3","Preparación"
"Tortel","4","Apertura Inicial"
"Traiguén","3","Preparación desde el lunes 7 de diciembre a las 5:00 hrs."
"Treguaco","3","Preparación"
"Tucapel","3","Preparación"
"Valdivia","1","Cuarentena"
"Vallenar","3","Preparación"
"Valparaiso","3","Preparación"
"Vichuquén","3","Preparación"
"Victoria","3","Preparación"
"Vicuña","4","Apertura Inicial"
"Vilcún","2","Transición"
"Villa Alegre","3","Preparación"
"Villa Alemana","3","Preparación"
"Villarrica","3","Preparación"
"Viña del Mar","3","Preparación"
"Vitacura","3","Preparación desde el sábado 5 de diciembre a las 5:00 hrs."
"Yerbas Buenas","3","Preparación"
"Yumbel","3","Preparación"
"Yungay","3","Preparación"
"Zapallar","3","Preparación"
